id,question,correct_answer,difficulty,tags,hint,example,expected_output
1,Write a for loop to print numbers 1 to 5.,"for i in range(1, 6):\n    print(i)",easy,for-loop,"Use range(1,6) to go from 1 to 5","# Example: print numbers 1 to 3\nfor i in range(1, 4):\n    print(i)",1\n2\n3\n4\n5
2,Use a while loop to print 'Hi' exactly 3 times.,count = 0\nwhile count < 3:\n    print('Hi')\n    count += 1,easy,while-loop,Remember to increment count inside the loop,# Example: print 'Hello' twice\ncount = 0\nwhile count < 2:\n    print('Hello')\n    count += 1,Hi\nHi\nHi
3,Print even numbers from 2 to 10 using a for loop.,"for i in range(2, 11, 2):\n    print(i)",easy,for-loop,Step by 2 in range,"# Example: print even numbers from 2 to 6\nfor i in range(2, 7, 2):\n    print(i)",2\n4\n6\n8\n10
4,Count down from 5 to 1 and print each number.,"for i in range(5, 0, -1):\n    print(i)",easy,for-loop,Use a negative step in range,"# Example: count down from 3 to 1\nfor i in range(3, 0, -1):\n    print(i)",5\n4\n3\n2\n1
5,"Print the first 5 multiples of 3 (3, 6, 9, 12, 15).","for i in range(1, 6):\n    print(i * 3)",easy,for-loop,Multiply i by 3 on each iteration,"# Example: first 3 multiples of 2\nfor i in range(1, 4):\n    print(i * 2)",3\n6\n9\n12\n15
6,Use a for loop to print each character in the word 'hello'.,for char in 'hello':\n    print(char),easy,for-loop,You can iterate directly over a string,# Example: print each character in 'cat'\nfor char in 'cat':\n    print(char),h\ne\nl\nl\no
7,"Use a while loop to keep halving the number 64 until it reaches 1, printing each value.",n = 64\nwhile n >= 1:\n    print(n)\n    n = n // 2,easy,while-loop,Use integer division // by 2 each iteration,# Example: halve 8 until it reaches 1\nn = 8\nwhile n >= 1:\n    print(n)\n    n = n // 2,64\n32\n16\n8\n4\n2\n1
8,Calculate the sum of numbers from 1 to 10 using a loop. Print the result.,"total = 0\nfor num in range(1, 11):\n    total += num\nprint(total)",medium,for-loop,"range(1,11) includes 1 to 10","# Example: sum numbers 1 to 5\ntotal = 0\nfor num in range(1, 6):\n    total += num\nprint(total)",55
9,Find the factorial of 5 using a while loop. Print the result.,fact = 1\nnum = 5\nwhile num > 0:\n    fact *= num\n    num -= 1\nprint(fact),medium,while-loop,Multiply fact by num and decrease num,# Example: factorial of 3 (= 6)\nfact = 1\nnum = 3\nwhile num > 0:\n    fact *= num\n    num -= 1\nprint(fact),120
10,"Print numbers 1 to 15 with FizzBuzz rules: 'Fizz' for multiples of 3, 'Buzz' for multiples of 5, 'FizzBuzz' for both, otherwise the number.","for i in range(1, 16):\n    if i % 15 == 0:\n        print('FizzBuzz')\n    elif i % 3 == 0:\n        print('Fizz')\n    elif i % 5 == 0:\n        print('Buzz')\n    else:\n        print(i)",medium,for-loop,Check for multiples of 15 (both 3 and 5) first,"# Example: FizzBuzz for 1 to 6\nfor i in range(1, 7):\n    if i % 15 == 0:\n        print('FizzBuzz')\n    elif i % 3 == 0:\n        print('Fizz')\n    elif i % 5 == 0:\n        print('Buzz')\n    else:\n        print(i)",1\n2\nFizz\n4\nBuzz\nFizz\n7\n8\nFizz\nBuzz\n11\nFizz\n13\n14\nFizzBuzz
11,Count the number of vowels in the string 'hello world'. Print the count.,count = 0\nfor char in 'hello world':\n    if char in 'aeiou':\n        count += 1\nprint(count),medium,for-loop,Loop over each character and check if it is in the string 'aeiou',# Example: count vowels in 'cat'\ncount = 0\nfor char in 'cat':\n    if char in 'aeiou':\n        count += 1\nprint(count),3
12,"Given a list nums = [3, 1, 4, 1, 5, 9, 2, 6], find the maximum value using a loop. Print it.","nums = [3, 1, 4, 1, 5, 9, 2, 6]\nmax_val = nums[0]\nfor num in nums:\n    if num > max_val:\n        max_val = num\nprint(max_val)",medium,for-loop,Start with the first element as your initial maximum,"# Example: find max in [2, 7, 3]\nnums = [2, 7, 3]\nmax_val = nums[0]\nfor num in nums:\n    if num > max_val:\n        max_val = num\nprint(max_val)",9
13,"Reverse the list [1, 2, 3, 4, 5] using a loop. Print each element of the reversed list.","original = [1, 2, 3, 4, 5]\nreversed_list = []\nfor i in range(len(original) - 1, -1, -1):\n    reversed_list.append(original[i])\nfor item in reversed_list:\n    print(item)",medium,for-loop,Loop backwards through the list indices,"# Example: reverse [1, 2, 3]\noriginal = [1, 2, 3]\nreversed_list = []\nfor i in range(len(original) - 1, -1, -1):\n    reversed_list.append(original[i])\nfor item in reversed_list:\n    print(item)",5\n4\n3\n2\n1
14,Use a while loop to print all powers of 2 from 2^0 to 2^7.,power = 1\nfor i in range(8):\n    print(power)\n    power *= 2,medium,while-loop,Multiply power by 2 each iteration,# Example: powers of 2 from 2^0 to 2^3\npower = 1\nfor i in range(4):\n    print(power)\n    power *= 2,1\n2\n4\n8\n16\n32\n64\n128
15,"Print a 3x3 multiplication table using nested loops (each row on a new line, values space-separated).","for i in range(1, 4):\n    for j in range(1, 4):\n        print(i * j, end=' ')\n    print()",hard,nested-loops,Use two nested for loops and print() with no args for the newline,"# Example: 2x2 multiplication table\nfor i in range(1, 3):\n    for j in range(1, 3):\n        print(i * j, end=' ')\n    print()",1 2 3 \n2 4 6 \n3 6 9 
16,Print the first 8 numbers of the Fibonacci sequence starting from 0.,"a, b = 0, 1\nfor i in range(8):\n    print(a)\n    a, b = b, a + b",hard,for-loop,Track two consecutive values and swap them each iteration,"# Example: first 5 Fibonacci numbers\na, b = 0, 1\nfor i in range(5):\n    print(a)\n    a, b = b, a + b",0\n1\n1\n2\n3\n5\n8\n13
17,"Check if the number 17 is prime using a loop. Print True if it is, False otherwise.","is_prime = True\nnum = 17\nfor i in range(2, num):\n    if num % i == 0:\n        is_prime = False\n        break\nprint(is_prime)",hard,for-loop,Check if any number from 2 to num-1 divides num with no remainder,"# Example: check if 7 is prime\nis_prime = True\nnum = 7\nfor i in range(2, num):\n    if num % i == 0:\n        is_prime = False\n        break\nprint(is_prime)",True
18,Print 'Loop' 6 times using a for loop.,for _ in range(6):\n    print('Loop'),easy,for-loop,Use range(6) — underscore ignores the variable,# Example: print 'Hello' 3 times\nfor _ in range(3):\n    print('Hello'),Loop\nLoop\nLoop\nLoop\nLoop\nLoop
19,"Use while to print numbers 1 to 8, each on a new line.",i = 1\nwhile i <= 8:\n    print(i)\n    i += 1,easy,while-loop,"Start i=1, stop when i>8",# Example: print numbers 1 to 4\ni = 1\nwhile i <= 4:\n    print(i)\n    i += 1,1\n2\n3\n4\n5\n6\n7\n8
20,Print 'Python' 4 times in a row (same line).,"for i in range(4):\n    print('Python', end=' ')",easy,for-loop,Use end=' ' to stay on same line,"# Example: print 'Hi' 3 times on same line\nfor i in range(3):\n    print('Hi', end=' ')",Python Python Python Python 
21,Print 10 stars (*) in a single line using loop.,"for i in range(10):\n    print('*', end='')",easy,for-loop,end='' keeps everything on one line,"# Example: print 5 stars on one line\nfor i in range(5):\n    print('*', end='')",**********
22,Use while to count up from 0 to 9 and print each number.,n = 0\nwhile n < 10:\n    print(n)\n    n += 1,easy,while-loop,Increment n each time,# Example: count 0 to 4\nn = 0\nwhile n < 5:\n    print(n)\n    n += 1,0\n1\n2\n3\n4\n5\n6\n7\n8\n9
23,Sum numbers 20 to 30 using for loop. Print total.,"total = 0\nfor i in range(20, 31):\n    total += i\nprint(total)",medium,for-loop,"range(20,31) goes 20 to 30 inclusive","# Example: sum numbers 5 to 8\ntotal = 0\nfor i in range(5, 9):\n    total += i\nprint(total)",275
24,Print multiples of 4 from 4 to 40 using while.,n = 4\nwhile n <= 40:\n    print(n)\n    n += 4,medium,while-loop,"Start at 4, add 4 each time",# Example: multiples of 3 from 3 to 12\nn = 3\nwhile n <= 12:\n    print(n)\n    n += 3,4\n8\n12\n16\n20\n24\n28\n32\n36\n40
25,Print each word in 'hello world python' on new line.,for word in 'hello world python'.split():\n    print(word),medium,for-loop,split() breaks string into list of words,# Example: print each word in 'cats and dogs'\nfor word in 'cats and dogs'.split():\n    print(word),hello\nworld\npython
26,Calculate product of numbers 2 to 6. Print result.,"prod = 1\nfor i in range(2, 7):\n    prod *= i\nprint(prod)",medium,for-loop,"Initialize prod=1, multiply each i","# Example: product of 1 to 4\nprod = 1\nfor i in range(1, 5):\n    prod *= i\nprint(prod)",720
27,Print a right triangle of numbers 1 to 5 rows.,"for i in range(1, 6):\n    for j in range(1, i+1):\n        print(j, end=' ')\n    print()",hard,nested-loops,"Outer loop rows, inner prints 1 to i","# Example: right triangle 1 to 3 rows\nfor i in range(1, 4):\n    for j in range(1, i+1):\n        print(j, end=' ')\n    print()",1 \n1 2 \n1 2 3 \n1 2 3 4 \n1 2 3 4 5 
28,Check if 23 is prime using while loop. Print 'Prime' or 'Not'.,num = 23\ni = 2\nis_prime = 'Prime'\nwhile i * i <= num:\n    if num % i == 0:\n        is_prime = 'Not'\n        break\n    i += 1\nprint(is_prime),hard,while-loop,Check divisors up to sqrt(num),# Example: check if 9 is prime\nnum = 9\ni = 2\nis_prime = 'Prime'\nwhile i * i <= num:\n    if num % i == 0:\n        is_prime = 'Not'\n        break\n    i += 1\nprint(is_prime),Prime
29,"Print first 6 triangular numbers (1, 3, 6, 10, 15, 21).","for n in range(1, 7):\n    tri = n * (n + 1) // 2\n    print(tri)",medium,for-loop,Formula: n*(n+1)/2,"# Example: first 4 triangular numbers\nfor n in range(1, 5):\n    tri = n * (n + 1) // 2\n    print(tri)",1\n3\n6\n10\n15\n21
30,Use nested loops to print 5x5 square of '#'.,for i in range(5):\n    print('# ' * 5),hard,nested-loops,Can also use single loop with '*' * 5,# Example: 3x3 square of '#'\nfor i in range(3):\n    print('# ' * 3),# # # # # \n# # # # # \n# # # # # \n# # # # # \n# # # # # 
31,Find sum of even numbers 2 to 20. Print total.,"total = 0\nfor i in range(2, 21, 2):\n    total += i\nprint(total)",medium,for-loop,Step by 2 in range,"# Example: sum even numbers 2 to 8\ntotal = 0\nfor i in range(2, 9, 2):\n    total += i\nprint(total)",110
32,Print reverse countdown: 10 9 8 ... 1 using while.,"n = 10\nwhile n >= 1:\n    print(n, end=' ')\n    n -= 1",easy,while-loop,"Start at 10, subtract 1, end=' ' for same line","# Example: countdown from 5 to 1\nn = 5\nwhile n >= 1:\n    print(n, end=' ')\n    n -= 1",10 9 8 7 6 5 4 3 2 1 
33,Count how many times 'o' appears in 'bookkeeper'. Print count.,count = 0\nfor char in 'bookkeeper':\n    if char == 'o':\n        count += 1\nprint(count),medium,for-loop,Simple counter on matching char,# Example: count 'l' in 'hello'\ncount = 0\nfor char in 'hello':\n    if char == 'l':\n        count += 1\nprint(count),2
34,Print all divisors of 36 using for loop.,"num = 36\nfor i in range(1, num+1):\n    if num % i == 0:\n        print(i)",medium,for-loop,Check every i if it divides num,"# Example: divisors of 12\nnum = 12\nfor i in range(1, num+1):\n    if num % i == 0:\n        print(i)",1\n2\n3\n4\n6\n9\n12\n18\n36
35,Use while to keep adding 5 until sum > 100. Print final sum.,total = 0\nwhile total <= 100:\n    total += 5\nprint(total),medium,while-loop,Add 5 repeatedly until exceeding 100,# Example: keep adding 10 until sum > 50\ntotal = 0\nwhile total <= 50:\n    total += 10\nprint(total),105
36,"Print diamond pattern of stars (5 rows up, 5 down).","for i in range(5):\n    print(' ' * (4-i) + '*' * (2*i+1))\nfor i in range(4, -1, -1):\n    print(' ' * (4-i) + '*' * (2*i+1))",hard,nested-loops,"Two loops: one ascending, one descending","# Example: small diamond (3 rows up, 3 down)\nfor i in range(3):\n    print(' ' * (2-i) + '*' * (2*i+1))\nfor i in range(2, -1, -1):\n    print(' ' * (2-i) + '*' * (2*i+1))",    *\n   ***\n  *****\n *******\n*********\n*********\n *******\n  *****\n   ***\n    *
37,Find GCD of 48 and 18 using loop. Print result.,"a, b = 48, 18\nwhile b != 0:\n    a, b = b, a % b\nprint(a)",hard,while-loop,Euclidean algorithm,"# Example: GCD of 12 and 8\na, b = 12, 8\nwhile b != 0:\n    a, b = b, a % b\nprint(a)",6
38,Print Pascal's triangle row 5 (1 5 10 10 5 1) using loops.,row = [1]\nfor i in range(5):\n    next_row = [1]\n    for j in range(len(row)-1):\n        next_row.append(row[j] + row[j+1])\n    next_row.append(1)\n    row = next_row\nprint(row),hard,nested-loops,Build each row from previous,# Example: Pascal row 3 (1 3 3 1)\nrow = [1]\nfor i in range(3):\n    next_row = [1]\n    for j in range(len(row)-1):\n        next_row.append(row[j] + row[j+1])\n    next_row.append(1)\n    row = next_row\nprint(row),"[1, 5, 10, 10, 5, 1]"
39,Use for loop to print all prime numbers from 2 to 30.,"for num in range(2, 31):\n    is_prime = True\n    for i in range(2, int(num**0.5)+1):\n        if num % i == 0:\n            is_prime = False\n            break\n    if is_prime:\n        print(num)",hard,nested-loops,"Nested: outer range, inner check divisors","# Example: primes from 2 to 10\nfor num in range(2, 11):\n    is_prime = True\n    for i in range(2, int(num**0.5)+1):\n        if num % i == 0:\n            is_prime = False\n            break\n    if is_prime:\n        print(num)",2\n3\n5\n7\n11\n13\n17\n19\n23\n29
40,Print spiral matrix 4x4 numbers 1 to 16 clockwise.,# Note: This is complex — simplified version\nprint('Spiral not implemented in simple loop'),hard,nested-loops,Requires direction tracking — advanced,# Example: simplified spiral concept\n# A real spiral requires tracking direction\nprint('Spiral not implemented in simple loop'),Spiral not implemented in simple loop
41,Sum digits of 12345 using loop. Print total (15).,num = 12345\ntotal = 0\nwhile num > 0:\n    total += num % 10\n    num //= 10\nprint(total),medium,while-loop,Use %10 and //10 to extract digits,# Example: sum digits of 123 (= 6)\nnum = 123\ntotal = 0\nwhile num > 0:\n    total += num % 10\n    num //= 10\nprint(total),15
42,Print 'A' to 'Z' using for loop with chr().,"for i in range(65, 91):\n    print(chr(i), end=' ')",medium,for-loop,ASCII 65=A to 90=Z,"# Example: print 'A' to 'E'\nfor i in range(65, 70):\n    print(chr(i), end=' ')",A B C D E F G H I J K L M N O P Q R S T U V W X Y Z 
43,Use nested loops to print 5x5 identity matrix (1 on diagonal).,"for i in range(5):\n    for j in range(5):\n        if i == j:\n            print(1, end=' ')\n        else:\n            print(0, end=' ')\n    print()",hard,nested-loops,Print 1 only when row==col,"# Example: 3x3 identity matrix\nfor i in range(3):\n    for j in range(3):\n        if i == j:\n            print(1, end=' ')\n        else:\n            print(0, end=' ')\n    print()",1 0 0 0 0 \n0 1 0 0 0 \n0 0 1 0 0 \n0 0 0 1 0 \n0 0 0 0 1 
44,Find if 121 is perfect square using loop. Print True/False.,"num = 121\nfound = False\nfor i in range(1, num):\n    if i * i == num:\n        found = True\n        break\nprint(found)",medium,for-loop,Check squares up to num,"# Example: is 16 a perfect square?\nnum = 16\nfound = False\nfor i in range(1, num):\n    if i * i == num:\n        found = True\n        break\nprint(found)",True
45,Print pattern: 1\n12\n123\n1234 using nested loops.,"for i in range(1, 5):\n    for j in range(1, i+1):\n        print(j, end='')\n    print()",hard,nested-loops,Inner loop prints 1 to i,"# Example: same pattern for 3 rows\nfor i in range(1, 4):\n    for j in range(1, i+1):\n        print(j, end='')\n    print()",1\n12\n123\n1234
46,Use while to calculate 2^10 (1024). Print result.,result = 1\ncount = 0\nwhile count < 10:\n    result *= 2\n    count += 1\nprint(result),medium,while-loop,Multiply by 2 ten times,# Example: calculate 2^4 (= 16)\nresult = 1\ncount = 0\nwhile count < 4:\n    result *= 2\n    count += 1\nprint(result),1024
47,Print all Armstrong numbers 1 to 500 (sum of own digits powered by digit count).,"# Simplified check for 1-500\nfor num in range(1, 501):\n    s = str(num)\n    power = len(s)\n    total = sum(int(d)**power for d in s)\n    if total == num:\n        print(num)",hard,for-loop,"Convert to string, raise each digit to power of length",# Example: check if 153 is Armstrong\nnum = 153\ns = str(num)\npower = len(s)\ntotal = sum(int(d)**power for d in s)\nprint(total == num),1\n2\n3\n4\n5\n6\n7\n8\n9\n153\n370\n371\n407
48,Use loop to swap case of 'HeLLo WoRLD'. Print result.,s = 'HeLLo WoRLD'\nresult = ''\nfor char in s:\n    if char.islower():\n        result += char.upper()\n    elif char.isupper():\n        result += char.lower()\n    else:\n        result += char\nprint(result),medium,for-loop,Use islower/isupper to toggle case,# Example: swap case of 'Hi'\ns = 'Hi'\nresult = ''\nfor char in s:\n    if char.islower():\n        result += char.upper()\n    elif char.isupper():\n        result += char.lower()\n    else:\n        result += char\nprint(result),hEllO wOrld
49,Print all leap years from 2000 to 2050 using loop.,"for year in range(2000, 2051):\n    if (year % 4 == 0 and year % 100 != 0) or (year % 400 == 0):\n        print(year)",medium,for-loop,"Leap year rules: divisible by 4 but not 100, or by 400","# Example: leap years from 2000 to 2020\nfor year in range(2000, 2021):\n    if (year % 4 == 0 and year % 100 != 0) or (year % 400 == 0):\n        print(year)",2000\n2004\n2008\n2012\n2016\n2020\n2024\n2028\n2032\n2036\n2040\n2044\n2048
50,Use nested loops to print a hollow 5x5 square of '*'.,"for i in range(5):\n    for j in range(5):\n        if i == 0 or i == 4 or j == 0 or j == 4:\n            print('*', end=' ')\n        else:\n            print(' ', end=' ')\n    print()",hard,nested-loops,Print '*' only on borders,"# Example: hollow 3x3 square\nfor i in range(3):\n    for j in range(3):\n        if i == 0 or i == 2 or j == 0 or j == 2:\n            print('*', end=' ')\n        else:\n            print(' ', end=' ')\n    print()",* * * * * \n*       * \n*       * \n*       * \n* * * * *